Proto,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label,target
udp,CON,0.0,0.0,,,2.0,18.0,126.0,110.0,0.0,0.0,0.0,2,2,144,120,60,36,3051.919189,4,264,96,0.000983,0.000328,0.000328,flow=Background-Established-cmpgw-CVUT,0
udp,INT,0.0,,,,1.0,,127.0,,0.0,0.0,0.0,18,0,1398,0,642,0,1807.069214,18,1398,642,0.009407,0.009407,0.0,flow=Background-UDP-Attempt,0
udp,INT,0.0,,,,1.0,,127.0,,0.0,0.0,0.0,6,0,480,0,228,0,1996.155273,6,480,228,0.002505,0.002505,0.0,flow=Background-UDP-Attempt,0
udp,CON,0.0,0.0,,,1.0,18.0,127.0,110.0,0.0,0.0,0.0,3,3,192,1012,65,886,2837.054688,6,1204,951,0.001762,0.000705,0.000705,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,127.0,63.0,0.0,0.0,0.0,1,1,83,133,41,91,0.00127,2,216,132,787.40155,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,7.8e-05,2,214,130,12820.513672,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,FIN,0.0,0.0,6912.0,5440.0,15.0,0.0,49.0,64.0,0.103529,0.000257,0.103272,6,4,739,460,335,188,4.831548,10,1199,523,1.862757,1.034865,0.634469,flow=To-Background-CVUT-WebServer,0
tcp,FIN,0.0,0.0,16126720.0,64240.0,2.0,13.0,126.0,51.0,0.036722,0.036441,0.000281,6,4,2109,1481,1755,1245,0.137464,10,3590,3000,65.471687,49.441799,29.696207,flow=Background-Established-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000184,2,214,130,5434.782715,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,22.0,1.0,106.0,127.0,0.0,0.0,0.0,1,1,60,68,18,26,0.000853,2,128,44,1172.333008,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,26.0,1.0,102.0,127.0,0.0,0.0,0.0,1,1,463,60,421,17,0.002455,2,523,438,407.33197,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,12.0,1.0,116.0,127.0,0.0,0.0,0.0,1,1,175,62,133,20,0.00092,2,237,153,1086.956543,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,16.0,1.0,112.0,127.0,0.0,0.0,0.0,1,1,78,60,36,18,0.000772,2,138,54,1295.336792,0.0,0.0,flow=Background-UDP-Established,0
udp,INT,0.0,,,,1.0,,127.0,,0.0,0.0,0.0,1,0,145,0,103,0,1.171832,1,145,103,0.0,0.0,0.0,flow=Background-UDP-Attempt,0
udp,CON,0.0,0.0,,,14.0,1.0,114.0,127.0,0.0,0.0,0.0,5,5,376,300,166,90,3019.33374,10,676,256,0.002981,0.001325,0.001325,flow=Background-UDP-Established,0
udp,INT,0.0,,,,2.0,,62.0,,0.0,0.0,0.0,1,0,92,0,50,0,0.0,1,92,50,0.0,0.0,0.0,flow=Background-UDP-Attempt,0
udp,CON,0.0,0.0,,,2.0,1.0,62.0,63.0,0.0,0.0,0.0,1,1,84,178,42,136,0.000492,2,262,178,2032.520264,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,15.0,1.0,49.0,127.0,0.0,0.0,0.0,2,2,146,120,62,36,3057.865967,4,266,98,0.000981,0.000327,0.000327,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,11.0,127.0,117.0,0.0,0.0,0.0,5,5,445,300,235,69,3084.525391,10,745,304,0.002918,0.001297,0.001297,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,1,1,73,60,31,18,0.001041,2,133,49,960.614807,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,23.0,1.0,105.0,127.0,0.0,0.0,0.0,1,1,75,60,33,18,0.000957,2,135,51,1044.932007,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,14.0,1.0,114.0,127.0,0.0,0.0,0.0,1,1,481,60,439,17,0.002399,2,541,456,416.840332,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,21.0,127.0,107.0,0.0,0.0,0.0,1,1,81,60,39,18,0.315121,2,141,57,3.173384,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,10.0,1.0,118.0,127.0,0.0,0.0,0.0,1,1,74,501,32,459,0.001152,2,575,491,868.055542,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,70,130,28,88,0.00019,2,200,116,5263.157715,0.0,0.0,flow=From-Normal-V42-Grill,1
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.00018,2,214,130,5555.555664,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,RST,0.0,0.0,2097152.0,0.0,15.0,1.0,113.0,127.0,0.0,0.0,0.0,2,2,132,120,0,0,0.677343,4,252,0,4.42907,1.485149,1.476693,flow=Background-TCP-Attempt,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000213,2,214,130,4694.835449,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
icmp,URP,0.0,,,,2.0,,62.0,,0.0,0.0,0.0,1,0,70,0,131,0,0.0,1,70,131,0.0,0.0,0.0,flow=Background-Attempt-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,1.0,1.0,127.0,63.0,0.0,0.0,0.0,1,1,76,226,34,184,0.00044,2,302,218,2272.727295,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,79,215,37,173,0.000409,2,294,210,2444.987793,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,12.0,1.0,116.0,127.0,0.0,0.0,0.0,1,1,83,61,41,19,0.001045,2,144,60,956.937744,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000349,2,214,130,2865.329346,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,16.0,1.0,112.0,127.0,0.0,0.0,0.0,1,1,75,60,33,18,0.000863,2,135,51,1158.748535,0.0,0.0,flow=Background-UDP-Established,0
tcp,FIN,0.0,0.0,65535.0,7230.0,1.0,9.0,127.0,55.0,0.002137,0.002017,0.00012,6,6,1079,2215,723,1865,15.00368,12,3294,2588,0.733153,0.333292,0.333296,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000164,2,214,130,6097.561035,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,5.0,127.0,59.0,0.0,0.0,0.0,1,1,70,176,28,134,0.000362,2,246,162,2762.430908,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,FIN,0.0,0.0,127434.0,65535.0,2.0,17.0,126.0,239.0,0.184595,0.184394,0.000201,220,453,109414,544964,94882,515054,188.715973,673,654378,609936,3.560907,1.16161,2.397476,flow=Background-Established-cmpgw-CVUT,0
tcp,FIN,0.0,0.0,64929.0,8192.0,1.0,11.0,127.0,117.0,0.017762,0.017562,0.0002,22,29,3866,20612,2580,18990,10.881988,51,24478,21570,4.594749,1.929795,2.577283,flow=Background-TCP-Established,0
tcp,FIN,0.0,0.0,65416.0,11584.0,2.0,9.0,126.0,55.0,0.00948,0.009172,0.000308,14,18,3746,17286,2918,16284,114.403816,32,21032,19202,0.27097,0.113633,0.148609,flow=Background-Established-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000204,2,214,130,4901.960938,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,15.0,1.0,113.0,127.0,0.0,0.0,0.0,1,1,82,478,40,436,0.001163,2,560,476,859.845215,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,20.0,1.0,108.0,127.0,0.0,0.0,0.0,1,1,83,60,41,18,0.001106,2,143,59,904.159119,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,2.0,1.0,126.0,63.0,0.0,0.0,0.0,1,1,79,129,37,87,0.000382,2,208,124,2617.801025,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,RST,0.0,0.0,2097152.0,0.0,15.0,1.0,113.0,127.0,0.0,0.0,0.0,2,1,132,60,0,0,0.617979,3,192,0,3.236356,1.618178,0.0,flow=Background-TCP-Attempt,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000267,2,214,130,3745.318359,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,RST,0.0,0.0,65700.0,5567.0,1.0,12.0,127.0,244.0,0.001866,0.001679,0.000187,6,5,1541,2623,1187,2335,0.141415,11,4164,3522,70.71386,35.35693,35.13364,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,15.0,1.0,113.0,127.0,0.0,0.0,0.0,1,1,75,60,33,18,0.001021,2,135,51,979.431946,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,127.0,63.0,0.0,0.0,0.0,1,1,84,177,42,135,0.0004,2,261,177,2500.0,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,2,2,546,542,462,457,0.6285,4,1088,919,4.77327,1.59687,1.593214,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000128,2,214,130,7812.5,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,1,1,80,60,38,18,0.00109,2,140,56,917.431152,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,3.0,1.0,253.0,63.0,0.0,0.0,0.0,1,1,76,489,34,447,0.000696,2,565,481,1436.781616,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000254,2,214,130,3937.007568,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,3,3,234,180,108,54,3011.916992,6,414,162,0.00166,0.000664,0.000664,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,67,214,25,172,0.000315,2,281,197,3174.603027,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,RST,0.0,0.0,23296.0,8960.0,1.0,21.0,63.0,43.0,0.178122,0.177902,0.00022,11,11,2221,6039,1487,5311,62.075455,22,8260,6798,0.338298,0.161557,0.161557,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,18.0,1.0,46.0,127.0,0.0,0.0,0.0,1,1,81,511,39,469,0.000984,2,592,508,1016.260132,0.0,0.0,flow=Background-UDP-Established,0
tcp,FIN,0.0,0.0,65535.0,5840.0,1.0,15.0,127.0,49.0,0.025045,0.025033,1.2e-05,13,23,909,28468,139,27200,0.206464,36,29377,27339,169.521088,58.121513,121.361908,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,21.0,1.0,107.0,127.0,0.0,0.0,0.0,5,5,375,300,165,90,17.425011,10,675,255,0.516499,0.229567,0.229567,flow=Background-UDP-Established,0
tcp,FIN,0.0,0.0,65412.0,11776.0,1.0,20.0,127.0,44.0,0.138542,0.13748,0.001062,6,6,2248,646,1894,286,0.41815,12,2894,2180,26.306349,17.83593,17.814516,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,22.0,1.0,106.0,127.0,0.0,0.0,0.0,1,1,188,62,146,20,0.000924,2,250,166,1082.251099,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,20.0,127.0,108.0,0.0,0.0,0.0,12,12,1763,841,1259,335,2144.253662,24,2604,1594,0.010726,0.005131,0.005131,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,29.0,1.0,99.0,127.0,0.0,0.0,0.0,2,2,126,432,42,348,0.704957,4,558,390,4.255579,1.419432,1.420452,flow=Background-UDP-Established,0
tcp,FIN,0.0,0.0,16896.0,65535.0,15.0,1.0,113.0,127.0,0.084529,0.00012,0.084409,32,33,3863,2457,2027,558,301.993134,65,6320,2585,0.211925,0.254652,0.105963,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,14.0,1.0,114.0,127.0,0.0,0.0,0.0,2,2,536,120,452,35,8.499377,4,656,487,0.352967,0.117685,0.117668,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,14.0,1.0,114.0,127.0,0.0,0.0,0.0,1,1,86,61,44,19,0.000965,2,147,63,1036.269409,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000445,2,214,130,2247.190918,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,127.0,63.0,0.0,0.0,0.0,1,1,72,493,30,451,0.000325,2,565,481,3076.923096,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,FIN,0.0,0.0,127686.0,6912.0,2.0,7.0,126.0,57.0,0.001361,0.001126,0.000235,5,5,838,613,526,313,0.007705,10,1451,839,1168.072632,616.332825,607.995117,flow=Background-Established-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,18.0,1.0,110.0,127.0,0.0,0.0,0.0,1,1,73,617,31,575,0.001613,2,690,606,619.96283,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,2.0,1.0,126.0,63.0,0.0,0.0,0.0,1,1,75,185,33,143,0.002082,2,260,176,480.307404,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,2.0,1.0,126.0,63.0,0.0,0.0,0.0,1,1,74,147,32,105,0.000292,2,221,137,3424.657471,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000275,2,214,130,3636.36377,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,2.0,1.0,126.0,63.0,0.0,0.0,0.0,1,1,76,147,34,105,0.000273,2,223,139,3663.003418,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,21.0,1.0,107.0,127.0,0.0,0.0,0.0,1,1,76,60,34,18,0.00189,2,136,52,529.100525,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,127.0,63.0,0.0,0.0,0.0,1,1,75,152,33,110,0.009792,2,227,143,102.124184,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,15.0,1.0,113.0,127.0,0.0,0.0,0.0,1,1,77,505,35,463,0.001035,2,582,498,966.183594,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,87,151,45,109,0.000404,2,238,154,2475.247559,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000678,2,214,130,1474.92627,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,25.0,1.0,103.0,127.0,0.0,0.0,0.0,1,1,74,60,32,18,0.000979,2,134,50,1021.450439,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,10.0,1.0,118.0,127.0,0.0,0.0,0.0,2,2,148,120,64,36,2437.953125,4,268,100,0.001231,0.00041,0.00041,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,15.0,1.0,113.0,127.0,0.0,0.0,0.0,2,4,637,2963,552,2794,589.889648,6,3600,3346,0.008476,0.001695,0.005086,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,2.0,1.0,126.0,63.0,0.0,0.0,0.0,1,1,79,152,37,110,0.000256,2,231,147,3906.25,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,19.0,1.0,109.0,127.0,0.0,0.0,0.0,1,1,74,60,32,18,0.001671,2,134,50,598.444031,0.0,0.0,flow=Background-UDP-Established,0
tcp,FIN,0.0,0.0,219520.0,9008.0,2.0,14.0,62.0,50.0,0.017555,0.017291,0.000264,4423,8966,293157,13558300,1231,12966536,33.743999,13389,13851457,12967767,396.752014,131.111252,265.81308,flow=Background-Established-cmpgw-CVUT,0
tcp,RST,0.0,0.0,131070.0,370688.0,14.0,1.0,50.0,63.0,0.000154,0.000154,0.0,2,1,138,74,0,0,0.022698,3,212,0,88.113487,44.056744,0.0,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,21.0,1.0,107.0,127.0,0.0,0.0,0.0,3,3,222,180,96,54,3007.816406,6,402,150,0.001662,0.000665,0.000665,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,18.0,1.0,110.0,127.0,0.0,0.0,0.0,1,1,74,60,32,18,0.000892,2,134,50,1121.076294,0.0,0.0,flow=Background-UDP-Established,0
tcp,RST,0.0,0.0,2097152.0,0.0,15.0,1.0,113.0,127.0,0.0,0.0,0.0,2,2,132,120,0,0,0.648433,4,252,0,4.626538,1.561948,1.547465,flow=Background-TCP-Attempt,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.00025,2,214,130,3999.999756,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,13.0,1.0,115.0,127.0,0.0,0.0,0.0,1,1,79,60,37,18,0.000858,2,139,55,1165.501099,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,2.0,1.0,62.0,63.0,0.0,0.0,0.0,1,1,75,185,33,143,0.000329,2,260,176,3039.513672,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,21.0,1.0,107.0,127.0,0.0,0.0,0.0,1,1,78,481,36,439,0.001837,2,559,475,544.365784,0.0,0.0,flow=Background-UDP-Established,0
tcp,REQ,0.0,,524280.0,,22.0,,42.0,,0.0,0.0,0.0,3,0,198,0,0,0,2.995753,3,198,0,0.667612,0.667612,0.0,flow=Background-TCP-Attempt,0
udp,CON,0.0,0.0,,,18.0,1.0,110.0,127.0,0.0,0.0,0.0,1,1,78,486,36,444,0.001089,2,564,480,918.273621,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,17.0,1.0,111.0,127.0,0.0,0.0,0.0,1,1,82,61,40,19,0.001086,2,143,59,920.810303,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,30.0,1.0,98.0,127.0,0.0,0.0,0.0,1,1,454,60,412,17,0.003257,2,514,429,307.031006,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,18.0,1.0,110.0,127.0,0.0,0.0,0.0,2,2,150,120,66,36,3016.391846,4,270,102,0.000995,0.000332,0.000332,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000146,2,214,130,6849.314941,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,1.0,1.0,63.0,63.0,0.0,0.0,0.0,1,1,81,133,39,91,0.000245,2,214,130,4081.632568,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
tcp,RST,0.0,0.0,65408.0,7168.0,1.0,8.0,127.0,56.0,0.017289,0.016961,0.000328,6,4,1002,530,642,290,9.570319,10,1532,932,0.940408,0.522449,0.589104,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,1.0,24.0,127.0,104.0,0.0,0.0,0.0,1,1,75,60,33,18,0.364544,2,135,51,2.743153,0.0,0.0,flow=Background-UDP-Established,0
tcp,RST,0.0,0.0,126.0,16406.0,15.0,2.0,241.0,126.0,0.0,0.0,0.0,105,54,20999,64837,15017,61903,2758.80957,159,85836,76920,0.057271,0.037697,0.019212,flow=Background-Established-cmpgw-CVUT,0
udp,CON,0.0,0.0,,,2.0,1.0,62.0,63.0,0.0,0.0,0.0,1,1,70,122,28,80,0.006645,2,192,108,150.48909,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
udp,CON,0.0,0.0,,,22.0,1.0,106.0,127.0,0.0,0.0,0.0,4,4,253,295,85,127,3528.867188,8,548,212,0.001984,0.00085,0.00085,flow=Background-UDP-Established,0
tcp,FIN,0.0,0.0,258148.0,64399.0,2.0,11.0,126.0,117.0,0.003747,0.003459,0.000288,9,8,3871,3545,3343,3083,44.816982,17,7416,6426,0.357008,0.178504,0.156204,flow=Background-Established-cmpgw-CVUT,0
tcp,FIN,0.0,0.0,46400.0,9856.0,1.0,15.0,63.0,49.0,0.112429,0.112424,5e-06,21,19,2696,19642,1302,18380,1.233611,40,22338,19682,31.614504,17.831255,16.054415,flow=Background-TCP-Established,0
udp,CON,0.0,0.0,,,14.0,1.0,114.0,127.0,0.0,0.0,0.0,1,1,461,60,419,17,0.003156,2,521,436,316.856781,0.0,0.0,flow=Background-UDP-Established,0
udp,CON,0.0,0.0,,,2.0,1.0,126.0,63.0,0.0,0.0,0.0,1,1,85,268,43,226,0.003116,2,353,269,320.924255,0.0,0.0,flow=To-Background-UDP-CVUT-DNS-Server,0
